,noise,name,dotted_val,striped_val,zigzagged_val,dotted_std,striped_std,zigzagged_std
26,20,mixed5b,0.09666666666666666,0.99,0.04666666666666667,0.08508166012066813,0.016158932858054417,0.04521553322083512
27,30,mixed3a,0.15333333333333332,0.01,0.34500000000000003,0.0339934634239519,0.0,0.08442616761275959
28,30,mixed3b,0.14333333333333334,0.01,0.29500000000000004,0.04784233364802441,0.0,0.04847679857416328
29,30,mixed4a,0.10833333333333332,0.01,0.13833333333333334,0.04183300132670378,0.0,0.05953523699830584
30,30,mixed4b,0.07999999999999999,0.01,0.2233333333333333,0.020138409955990953,0.0,0.0812061847671989
31,30,mixed4c,0.10500000000000001,0.7216666666666666,0.27166666666666667,0.0473168985552613,0.08906926143924927,0.06359594676112972
32,30,mixed4d,0.01,0.8800000000000001,0.14666666666666667,0.0,0.07003967129816896,0.049888765156985884
33,30,mixed4e,0.10999999999999999,0.8433333333333334,0.20333333333333337,0.06980130530457308,0.07137537701787951,0.04731689855526131
34,30,mixed5a,0.06833333333333333,0.945,0.01,0.042946995755750415,0.03999999999999999,0.0
35,30,mixed5b,0.021666666666666667,0.9433333333333334,0.07333333333333333,0.017950549357115014,0.07176350047203658,0.08120618476719889
36,40,mixed3a,0.06333333333333332,0.355,0.195,0.0135400640077266,0.051261854997432334,0.04268749491621899
37,40,mixed3b,0.09833333333333334,0.01,0.2616666666666666,0.01699673171197595,0.0,0.046427960923947076
38,40,mixed4a,0.07500000000000001,0.01,0.10333333333333332,0.013944333775567927,0.0,0.03009245014211298
39,40,mixed4b,0.08166666666666667,0.01,0.14333333333333337,0.019293061504650377,0.0,0.08323327326122516
40,40,mixed4c,0.15666666666666668,0.7266666666666666,0.24833333333333335,0.04927248499698161,0.10333333333333335,0.10533016872883307
41,40,mixed4d,0.08666666666666667,0.01,0.14500000000000002,0.038944404818493074,0.0,0.033582402799349806
42,40,mixed4e,0.11833333333333333,0.01,0.14833333333333332,0.07019813229550895,0.0,0.08017342313870462
43,40,mixed5a,0.03833333333333333,0.01,0.03833333333333333,0.035978388574871505,0.0,0.04552166761249222
44,40,mixed5b,0.023333333333333334,0.915,0.12333333333333334,0.014337208778404376,0.0460675832036175,0.09404490653110589
45,50,mixed3a,0.07166666666666667,0.2416666666666667,0.11333333333333333,0.012472191289246468,0.039791121287711076,0.014529663145135579
46,50,mixed3b,0.056666666666666664,0.01,0.17666666666666664,0.012247448713915891,0.0,0.06110100926607787
47,50,mixed4a,0.06,0.3083333333333333,0.09833333333333334,0.01615893285805443,0.0779957263786506,0.02438123139721299
48,50,mixed4b,0.045,0.01,0.10166666666666666,0.008498365855987976,0.0,0.04576510072581994
49,50,mixed4c,0.09,0.01,0.16666666666666666,0.0392286743197994,0.0,0.05939509893735156
50,50,mixed4d,0.10166666666666666,0.01,0.06333333333333332,0.03223179934302286,0.0,0.028185890875479604
51,50,mixed4e,0.06999999999999999,0.01,0.05499999999999999,0.03636237371545238,0.0,0.01
52,50,mixed5a,0.025,0.01,0.041666666666666664,0.0190029237516523,0.0,0.039791121287711076
53,50,mixed5b,0.05500000000000001,0.845,0.023333333333333334,0.028185890875479607,0.0355902608401044,0.02758824226207808
54,60,mixed3a,0.03833333333333333,0.24333333333333332,0.12166666666666667,0.008498365855987974,0.06737127643802579,0.06510674994874871
55,60,mixed3b,0.07500000000000001,0.18166666666666667,0.10833333333333332,0.029344694769431683,0.03778594682918212,0.03908679799852858
56,60,mixed4a,0.08499999999999999,0.14833333333333334,0.07833333333333332,0.038873012632302,0.058783973628494655,0.029627314724385293
57,60,mixed4b,0.16666666666666669,0.01,0.11333333333333333,0.09219544457292887,0.0,0.0667915496983796
58,60,mixed4c,0.15,0.275,0.07333333333333333,0.11559027256266466,0.10041580220928044,0.03265986323710904
59,60,mixed4d,0.011666666666666667,0.19666666666666666,0.021666666666666667,0.006666666666666667,0.09741092797468305,0.015456030825826174
60,60,mixed4e,0.08333333333333334,0.01,0.03666666666666667,0.14210715831528137,0.0,0.0339934634239519
61,60,mixed5a,0.013333333333333332,0.01,0.005,0.01870828693386971,0.0,0.004082482904638631
62,60,mixed5b,0.008333333333333333,0.01,0.041666666666666664,0.00912870929175277,0.0,0.06790516262487788
63,70,mixed3a,0.03166666666666666,0.01,0.22833333333333333,0.02068278940998476,0.0,0.10679679562400528
64,70,mixed3b,0.06333333333333334,0.07833333333333334,0.01,0.04169998667732268,0.023921166824012206,0.0
65,70,mixed4a,0.10500000000000001,0.14833333333333332,0.12166666666666666,0.06883958809354461,0.09795123503276743,0.08293236869749819
66,70,mixed4b,0.01,0.01,0.13166666666666665,0.0,0.0,0.07824463062870335
67,70,mixed4c,0.05,0.10500000000000001,0.041666666666666664,0.047434164902525694,0.031001792062897122,0.014907119849998597
68,70,mixed4d,0.003333333333333333,0.045,0.005,0.004082482904638631,0.021473497877875208,0.01
69,70,mixed4e,0.13,0.056666666666666664,0.10500000000000001,0.10200762498732904,0.04755114205895702,0.19773719933285192
70,70,mixed5a,0.0,0.07499999999999998,0.009999999999999998,0.0,0.04772607021092117,0.016158932858054427
71,70,mixed5b,0.008333333333333333,0.01,0.0,0.012909944487358056,0.0,0.0
72,80,mixed3a,0.03666666666666667,0.01,0.01,0.023921166824012206,0.0,0.0
73,80,mixed3b,0.12833333333333333,0.17666666666666667,0.01,0.09868580895391642,0.19136933459209768,0.0
74,80,mixed4a,0.24499999999999997,0.16666666666666669,0.17,0.1637749132871766,0.1201850425154663,0.10022197585581939
75,80,mixed4b,0.01,0.01,0.01,0.0,0.0,0.0
76,80,mixed4c,0.01,0.045,0.034999999999999996,0.0,0.013540064007726602,0.025495097567963924
77,80,mixed4d,0.01,0.01,0.008333333333333333,0.0,0.0,0.005270462766947299
78,80,mixed4e,0.01,0.01,0.003333333333333333,0.0,0.0,0.006666666666666666
79,80,mixed5a,0.0016666666666666666,0.034999999999999996,0.0016666666666666666,0.003333333333333333,0.024381231397212988,0.003333333333333333
80,80,mixed5b,0.01,0.01,0.0,0.0097182531580755,0.0,0.0
81,90,mixed3a,0.039999999999999994,0.01,0.01,0.05174724898753341,0.0,0.0
82,90,mixed3b,0.2033333333333333,0.09,0.01,0.09198429817697752,0.12263314759431433,0.0
83,90,mixed4a,0.145,0.045,0.17166666666666666,0.17017964364491747,0.035978388574871505,0.10509255180289631
84,90,mixed4b,0.01,0.01,0.01,0.0,0.0,0.0
85,90,mixed4c,0.058333333333333334,0.013333333333333332,0.005,0.05400617248673217,0.006666666666666667,0.004082482904638631
86,90,mixed4d,0.05833333333333335,0.011666666666666667,0.0,0.1001387925719987,0.006666666666666666,0.0
87,90,mixed4e,0.006666666666666666,0.013333333333333332,0.0,0.0033333333333333335,0.00408248290463863,0.0
88,90,mixed5a,0.005,0.03166666666666666,0.0,0.004082482904638631,0.02656229575084871,0.0
89,90,mixed5b,0.10333333333333332,0.01,0.0,0.19836834424877373,0.0,0.0
90,100,mixed3a,0.011666666666666667,0.01,0.01,0.012472191289246471,0.0,0.0
91,100,mixed3b,0.01,0.05166666666666667,0.01,0.0,0.05512611802847076,0.0
92,100,mixed4a,0.01,0.20166666666666666,0.01,0.0,0.13636144779388507,0.0
93,100,mixed4b,0.01,0.01,0.01,0.0,0.0,0.0
94,100,mixed4c,0.01,0.008333333333333335,0.003333333333333333,0.0,0.010540925533894598,0.004082482904638631
95,100,mixed4d,0.021666666666666667,0.0016666666666666666,0.10166666666666666,0.01870828693386971,0.003333333333333333,0.12946470990625633
96,100,mixed4e,0.01,0.01,0.01,0.0,0.0,0.0
97,100,mixed5a,0.0016666666666666666,0.0,0.0,0.003333333333333333,0.0,0.0
98,100,mixed5b,0.01,0.01,0.01,0.0,0.0,0.0
